0 0 38469 
1 38469 30935 
2 69404 30723 
3 100127 30454 
4 130581 30051 
5 160632 28638 
6 189270 27032 
7 216302 25969 
8 242271 25810 
9 268081 25798 
10 293879 24567 
11 318446 23603 
12 342049 23249 
13 365298 22925 
14 388223 22571 
15 410794 22098 
16 432892 21767 
17 454659 20496 
18 475155 20244 
19 495399 20153 
20 515552 20093 
21 535645 19884 
22 555529 19789 
23 575318 19814 
24 595132 19686 
25 614818 19511 
26 634329 19551 
27 653880 19463 
28 673343 19366 
29 692709 19290 
30 711999 19092 
31 731091 19034 
32 750125 18949 
33 769074 18595 
34 787669 18443 
35 806112 18380 
36 824492 18324 
37 842816 18049 
38 860865 17884 
39 878749 17842 
40 896591 17721 
41 914312 17053 
42 931365 16461 
43 947826 16386 
44 964212 16316 
45 980528 16003 
46 996531 15915 
47 1012446 15929 
48 1028375 15864 
49 1044239 15613 
50 1059852 15566 
51 1075418 15576 
52 1090994 15504 
53 1106498 15393 
54 1121891 15322 
55 1137213 15284 
56 1152497 15115 
57 1167612 15078 
58 1182690 14984 
59 1197674 14790 
60 1212464 14661 
61 1227125 14616 
62 1241741 14616 
63 1256357 14516 
64 1270873 14180 
65 1285053 14081 
66 1299134 13967 
67 1313101 13781 
68 1326882 13765 
69 1340647 13748 
70 1354395 13751 
71 1368146 13719 
72 1381865 13672 
73 1395537 13686 
74 1409223 13639 
75 1422862 13567 
76 1436429 13561 
77 1449990 13390 
78 1463380 13313 
79 1476693 13155 
80 1489848 13045 
81 1502893 12992 
82 1515885 12943 
83 1528828 12967 
84 1541795 12902 
85 1554697 12863 
86 1567560 12850 
87 1580410 12852 
88 1593262 12604 
89 1605866 12577 
90 1618443 12577 
91 1631020 12491 
92 1643511 12485 
93 1655996 12440 
94 1668436 12283 
95 1680719 12283 
96 1693002 12279 
97 1705281 12227 
98 1717508 12143 
99 1729651 11928 
100 1741579 11967 
101 1753546 11774 
102 1765320 11634 
103 1776954 11617 
104 1788571 11640 
105 1800211 11638 
106 1811849 11606 
107 1823455 11552 
108 1835007 11583 
109 1846590 11545 
110 1858135 11570 
111 1869705 11488 
112 1881193 11452 
113 1892645 11325 
114 1903970 11294 
115 1915264 11264 
116 1926528 11276 
117 1937804 11241 
118 1949045 11165 
119 1960210 11203 
120 1971413 11020 
121 1982433 11024 
122 1993457 11000 
123 2004457 10977 
124 2015434 10961 
125 2026395 10942 
126 2037337 10938 
127 2048275 10859 
128 2059134 10827 
129 2069961 10791 
130 2080752 10724 
131 2091476 10706 
132 2102182 10748 
133 2112930 10660 
134 2123590 10599 
135 2134189 10554 
136 2144743 10510 
137 2155253 10529 
138 2165782 10462 
139 2176244 10463 
140 2186707 10517 
141 2197224 10454 
142 2207678 10427 
143 2218105 10278 
144 2228383 10198 
145 2238581 10205 
146 2248786 10177 
147 2258963 10155 
148 2269118 10142 
149 2279260 10155 
150 2289415 10151 
151 2299566 10123 
152 2309689 10088 
153 2319777 10089 
154 2329866 10101 
155 2339967 10027 
156 2349994 10016 
157 2360010 9999 
158 2370009 9961 
159 2379970 9988 
160 2389958 9964 
161 2399922 9922 
162 2409844 9920 
163 2419764 9869 
164 2429633 9896 
165 2439529 9789 
166 2449318 9779 
167 2459097 9782 
168 2468879 9805 
169 2478684 9757 
170 2488441 9741 
171 2498182 9695 
172 2507877 9708 
173 2517585 9710 
174 2527295 9658 
175 2536953 9674 
176 2546627 9664 
177 2556291 9696 
178 2565987 9669 
179 2575656 9646 
180 2585302 9639 
181 2594941 9648 
182 2604589 9629 
183 2614218 9618 
184 2623836 9634 
